cluster_id,size,province,district,centroid_lat,centroid_lon,member_cooperatives
888cf2b0c9fffff,5,SUMATERA SELATAN,KOTA LUBUK LINGGAU,-3.293894098113684,102.86358451839565,KOPERASI KELURAHAN MERAH PUTIH LUBUKLINGGAU ULU | KOPERASI KELURAHAN MERAH PUTIH PASAR PERMIRI | KOPERASI KELURAHAN MERAH PUTIH LUBUKLINGGAU ILIR | KOPERASI KELURAHAN MERAH PUTIH JAWA KANAN SS KECAMATAN LUBUKLINGGAU TIMUR II | KOPERASI KELURAHAN MERAH PUTIH DEMPO KECAMATAN LUBUKLINGGAU TIMUR II
888cab6203fffff,5,SUMATERA SELATAN,KOTA PALEMBANG,-2.98010487329142,104.76345770976017,KOPERASI KELURAHAN MERAH PUTIH SEBELAS ILIR | KOPERASI KELURAHAN MERAH PUTIH SEPULUH ILIR | KOPERASI KELURAHAN MERAH PUTIH EMPAT BELAS ILIR | KOPERASI KELURAHAN MERAH PUTIH KEPANDEAN BARU | KOPERASI KELURAHAN MERAH PUTIH LIMA BELAS ILIR
888d808f43fffff,5,JAWA TIMUR,KAB. GRESIK,-7.154401396170294,112.65606101265476,KOPERASI KELURAHAN MERAH PUTIH KEBUNGSON | KOPERASI KELURAHAN MERAH PUTIH TRATE | KOPERASI KELURAHAN MERAH PUTIH PEKAUMAN KECAMATAN GRESIK | KOPERASI KELURAHAN MERAH PUTIH BEDILAN | KOPERASI KELURAHAN MERAH PUTIH KROMAN
889500810bfffff,5,SULAWESI SELATAN,KOTA MAKASSAR,-5.128785386569625,119.42413894889849,KOPERASI KELURAHAN MERAH PUTIH BONTOALA KECAMATAN BONTOALA | KOPERASI KELURAHAN MERAH PUTIH BARAYA KECAMATAN BONTOALA | KOPERASI KELURAHAN MERAH PUTIH WAJO BARU | KOPERASI KELURAHAN MERAH PUTIH BONTOALA TUA | KOPERASI KELURAHAN MERAH PUTIH BUNGA EJA BERU
88728b86b9fffff,5,PAPUA PEGUNUNGAN,KAB. LANNY JAYA,-4.1024123093332685,138.9420376764986,KOPERASI DESA MERAH PUTIH ILUNGGIME | KOPERASI DESA MERAH PUTIH KAMPUNG PIRAGI | KOPERASI DESA MERAH PUTIH KAMPUNG TINIME | KOPERASI DESA MERAH PUTIH KAMPUNG KOMBANU | KOPERASI DESA MERAH PUTIH LOGONOBA
8865295623fffff,5,SUMATERA UTARA,KOTA PADANG SIDEMPUAN,1.3784015787945498,99.27245713042454,KOPERASI KELURAHAN MERAH PUTIH WEK III | KOPERASI KELURAHAN MERAH PUTIH WEK II | KOPERASI KELURAHAN MERAH PUTIH KANTIN | KOPERASI KELURAHAN MERAH PUTIH WEK IV | KOPERASI KELURAHAN MERAH PUTIH WEK V
887390d9d7fffff,5,MALUKU UTARA,KOTA TERNATE,0.783363602580346,127.3851102407632,KOPERASI KELURAHAN MERAH PUTIH TAKOMA | KOPERASI KELURAHAN MERAH PUTIH KOTA BARU KECAMATAN KOTA TERNATE TENGAH | KOPERASI KELURAHAN MERAH PUTIH STADION | KOPERASI KELURAHAN MERAH PUTIH TANAH RAJA KECAMATAN KOTA TERNATE TENGAH | KOPERASI KELURAHAN MERAH PUTIH MUHAJIRIN KECAMATAN KOTA TERNATE TENGAH
888cf021b1fffff,5,BENGKULU,KOTA BENGKULU,-3.7898111663756335,102.25317961162077,KOPERASI KELURAHAN MERAH PUTIH PONDOK BESI | KOPERASI KELURAHAN MERAH PUTIH KEBUN KELING | KOPERASI KELURAHAN MERAH PUTIH MALABRO | KOPERASI KELURAHAN MERAH PUTIH KEBUN ROOS | KOPERASI KELURAHAN MERAH PUTIH JITRA
88650dd281fffff,5,SUMATERA UTARA,KOTA PEMATANGSIANTAR,2.947827719702964,99.06203616260908,KOPERASI KELURAHAN MERAH PUTIH SUKA MAKMUR KECAMATAN SIANTAR MARIHAT | KOPERASI KELURAHAN MERAH PUTIH TELADAN KECAMATAN SIANTAR BARAT | KOPERASI KELURAHAN MERAH PUTIH KRISTEN | KOPERASI KELURAHAN MERAH PUTIH MARTIMBANG | KOPERASI KELURAHAN MERAH PUTIH TOBA SIANTAR SELATAN
8895008125fffff,5,SULAWESI SELATAN,KOTA MAKASSAR,-5.161933835981595,119.40705428928008,KOPERASI KELURAHAN MERAH PUTIH PARANG | KOPERASI KELURAHAN MERAH PUTIH KAMPUNG BUYANG | KOPERASI KELURAHAN MERAH PUTIH MARISO KECAMATAN MARISO | KOPERASI KELURAHAN MERAH PUTIH TAMARUNANG KECAMATAN MARISO | KOPERASI KELURAHAN MERAH PUTIH BONTORANNU KECAMATAN MARISO
